T2m,WS10m
4.93,3.26
3.75,2.61
2.83,2.39
1.92,2.17
1.01,1.96
0.55,1.94
0.08,1.93
-0.38,1.92
-0.43,2.06
-0.48,2.19
-0.52,2.33
-0.5,2.51
-0.47,2.7
-0.45,2.88
0.73,3.35
1.9,3.81
3.08,4.28
4.45,5.29
5.83,6.3
7.21,7.31
7.87,7.08
8.53,6.84
9.19,6.61
8.73,6.4
8.27,6.2
7.81,6
7.73,6.38
7.66,6.76
7.59,7.14
7.32,7.26
7.05,7.38
6.78,7.5
6.58,7.71
6.38,7.92
6.18,8.12
6.91,7.89
7.65,7.66
8.38,7.42
8.2,7.54
8.02,7.66
7.84,7.78
7.8,7.92
7.76,8.06
7.72,8.21
8.43,7.81
9.15,7.42
9.87,7.02
8.98,6.09
8.1,5.16
7.21,4.23
7.03,4.47
6.85,4.71
6.68,4.95
6.64,5.8
6.6,6.64
6.56,7.49
5.8,6.93
5.04,6.37
4.28,5.81
3.95,5.69
3.63,5.57
3.3,5.45
4.08,5.58
4.85,5.71
5.63,5.85
5.98,6
6.33,6.14
6.68,6.29
5.84,6.13
5,5.97
4.16,5.81
3.91,6.34
3.65,6.87
3.4,7.41
3.45,6.98
3.51,6.55
3.57,6.12
3.64,5.82
3.71,5.51
3.79,5.2
3.66,5.32
3.54,5.44
3.41,5.56
3.28,5.36
3.14,5.16
3.01,4.97
3.41,5.24
3.8,5.52
4.2,5.79
4.47,6.04
4.74,6.28
5.01,6.52
5.06,6.61
5.11,6.69
5.16,6.77
4.69,5.66
4.23,4.56
3.76,3.45
3.38,3.38
3.01,3.31
2.64,3.24
2.6,3.53
2.57,3.82
2.54,4.11
2.61,4.26
2.69,4.41
2.76,4.57
2.71,4.69
2.65,4.82
2.6,4.95
3.48,5.08
4.36,5.21
5.25,5.34
5.59,5.57
5.93,5.8
6.28,6.03
6.26,6.14
6.24,6.26
6.22,6.37
5.62,6.08
5.02,5.78
4.42,5.49
4.32,5.29
4.23,5.09
4.14,4.9
4.12,4.24
4.11,3.59
4.1,2.94
3.61,2.83
3.13,2.73
2.65,2.62
2.39,2.45
2.12,2.28
1.86,2.11
3.06,2.21
4.26,2.31
5.46,2.41
6.32,2.76
7.18,3.1
8.05,3.45
8.18,3.57
8.32,3.69
8.46,3.81
7.39,3.29
6.33,2.78
5.26,2.26
4.67,2.24
4.08,2.23
3.5,2.21
3.64,2.26
3.79,2.32
3.94,2.37
4.11,2.51
4.28,2.65
4.45,2.79
4.35,2.84
4.24,2.9
